Treatment	Plot	Rep	Month	Year	Phylum	LogCopyNumber	SoilMoisture	SoilMoisturePlot
1	1	1	1	1	Total	9.557711263	26.76666667	28.6
1	1	1	1	1	Total	9.560508466	26.76666667	28.6
1	1	1	1	1	Total	9.605263711	26.76666667	28.6
1	1	2	1	1	Total	8.346522452	26.76666667	25.4
1	1	2	1	1	Total	8.363305669	26.76666667	25.4
1	1	2	1	1	Total	8.371697277	26.76666667	25.4
1	2	1	1	1	Total	9.616452522	26.76666667	26.7
1	2	1	1	1	Total	9.76470427	26.76666667	26.7
1	2	1	1	1	Total	9.759109864	26.76666667	26.7
1	2	2	1	1	Total	9.521347627	26.76666667	27.5
1	2	2	1	1	Total	9.680788186	26.76666667	27.5
1	2	2	1	1	Total	9.733935039	26.76666667	27.5
1	3	1	1	1	Total	8.405263711	26.76666667	26.1
1	3	1	1	1	Total	8.44442455	26.76666667	26.1
1	3	1	1	1	Total	8.433235739	26.76666667	26.1
1	3	2	1	1	Total	8.332536438	26.76666667	28.8
1	3	2	1	1	Total	8.377291683	26.76666667	28.8
1	3	2	1	1	Total	8.343725249	26.76666667	28.8
1	4	1	1	1	Total	8.117151823	26.76666667	22.5
1	4	1	1	1	Total	8.175893081	26.76666667	22.5
1	4	1	1	1	Total	8.156312662	26.76666667	22.5
1	4	2	1	1	Total	8.903165809	26.76666667	22.3
1	4	2	1	1	Total	8.950718256	26.76666667	22.3
1	4	2	1	1	Total	8.933935039	26.76666667	22.3
1	5	1	1	1	Total	9.264004969	26.76666667	30
1	5	1	1	1	Total	9.266802172	26.76666667	30
1	5	1	1	1	Total	9.300368606	26.76666667	30
1	5	2	1	1	Total	9.389879095	26.76666667	30.1
1	5	2	1	1	Total	9.389879095	26.76666667	30.1
1	5	2	1	1	Total	9.412256718	26.76666667	30.1
1	1	1	2	2	Total	8.153515459	19.58333333	25.4
1	1	1	2	2	Total	8.125543431	19.58333333	25.4
1	1	1	2	2	Total	8.178690284	19.58333333	25.4
1	1	2	2	2	Total	8.111557417	19.58333333	24.3
1	1	2	2	2	Total	8.105963011	19.58333333	24.3
1	1	2	2	2	Total	8.066802172	19.58333333	24.3
1	2	1	2	2	Total	9.431837137	19.58333333	19.5
1	2	1	2	2	Total	9.43463434	19.58333333	19.5
1	2	1	2	2	Total	9.375893081	19.58333333	19.5
1	2	2	2	2	Total	9.303165809	19.58333333	20.9
1	2	2	2	2	Total	9.339529445	19.58333333	20.9
1	2	2	2	2	Total	9.266802172	19.58333333	20.9
1	3	1	2	2	Total	9.675193781	19.58333333	17.5
1	3	1	2	2	Total	9.697571403	19.58333333	17.5
1	3	1	2	2	Total	9.683585389	19.58333333	17.5
1	3	2	2	2	Total	9.801067906	19.58333333	20.9
1	3	2	2	2	Total	9.831837137	19.58333333	20.9
1	3	2	2	2	Total	9.664004969	19.58333333	20.9
1	4	1	2	2	Total	9.006662312	19.58333333	13.6
1	4	1	2	2	Total	9.082186788	19.58333333	13.6
1	4	1	2	2	Total	9.031837137	19.58333333	13.6
1	4	2	2	2	Total	8.869599375	19.58333333	14.3
1	4	2	2	2	Total	8.855613361	19.58333333	14.3
1	4	2	2	2	Total	8.757711263	19.58333333	14.3
1	5	1	2	2	Total	8.897571403	19.58333333	22
1	5	1	2	2	Total	8.852816158	19.58333333	22
1	5	1	2	2	Total	8.905963011	19.58333333	22
1	5	2	2	2	Total	8.883585389	19.58333333	20.9
1	5	2	2	2	Total	8.855613361	19.58333333	20.9
1	5	2	2	2	Total	8.808060913	19.58333333	20.9
1	1	1	1	2	Total	7.940928046	26.3	24.7
1	1	1	1	2	Total	8.066802172	26.3	24.7
1	1	1	1	2	Total	8.058410564	26.3	24.7
1	1	2	1	2	Total	8.002466508	26.3	23.4
1	1	2	1	2	Total	8.008060913	26.3	23.4
1	1	2	1	2	Total	7.996872102	26.3	23.4
