Date 	Plot	Replicate	Treatment	SoilMoisture
1/29/2004	2	1	1	29.45
1/29/2004	3	1	1	30.5
1/29/2004	4	1	1	28.7
1/29/2004	1	1	1	34.8
1/29/2004	5	1	1	30.55
1/29/2004	6	1	1	29.67
1/29/2004	2	2	1	28.2
1/29/2004	3	2	1	30.6
1/29/2004	4	2	1	28.05
1/29/2004	1	2	1	31.9
1/29/2004	5	2	1	31.3
1/29/2004	6	2	1	30.6
2/10/2004	2	1	1	30
2/10/2004	3	1	1	32
2/10/2004	4	1	1	27.65
2/10/2004	1	1	1	35.97
2/10/2004	5	1	1	30.85
2/10/2004	6	1	1	30.85
2/10/2004	2	2	1	31.23
2/10/2004	3	2	1	32.55
2/10/2004	4	2	1	30.6
2/10/2004	1	2	1	35.3
2/10/2004	5	2	1	33.6
2/10/2004	6	2	1	29.85
3/12/2004	2	1	1	28.8
3/12/2004	3	1	1	31.15
3/12/2004	4	1	1	29.2
3/12/2004	1	1	1	36.35
3/12/2004	5	1	1	32.65
3/12/2004	6	1	1	35.8
3/12/2004	2	2	1	32.2
3/12/2004	3	2	1	30.65
3/12/2004	4	2	1	32
3/12/2004	1	2	1	34.9
3/12/2004	5	2	1	31.5
3/12/2004	6	2	1	30.25
4/2/2004	2	1	1	27.05
4/2/2004	3	1	1	26.9
4/2/2004	4	1	1	25.65
4/2/2004	1	1	1	31
4/2/2004	5	1	1	28.15
4/2/2004	6	1	1	31.1
4/2/2004	2	2	1	27.05
4/2/2004	3	2	1	27.55
4/2/2004	4	2	1	24.85
4/2/2004	1	2	1	33
4/2/2004	5	2	1	28.05
4/2/2004	6	2	1	28.8
5/9/2004	2	1	1	25.6
5/9/2004	3	1	1	25.4
5/9/2004	4	1	1	17.7
5/9/2004	1	1	1	26.6
5/9/2004	5	1	1	28.7
5/9/2004	6	1	1	26.9
5/9/2004	2	2	1	24.7
5/9/2004	3	2	1	24.4
5/9/2004	4	2	1	17
5/9/2004	1	2	1	27.1
5/9/2004	5	2	1	25.4
5/9/2004	6	2	1	26.7
6/15/2009	2	1	1	21.1
6/15/2009	3	1	1	28.3
6/15/2009	4	1	1	21.9
6/15/2009	1	1	1	28.2
6/15/2009	5	1	1	24.2
6/15/2009	6	1	1	26
6/15/2009	2	2	1	27.7
6/15/2009	3	2	1	27.9
6/15/2009	4	2	1	20.9
6/15/2009	1	2	1	26.6
6/15/2009	5	2	1	27.6
6/15/2009	6	2	1	26.1
7/16/2004	2	1	1	9.3
7/16/2004	3	1	1	21.1
7/16/2004	4	1	1	11.8
7/16/2004	1	1	1	16.9
7/16/2004	5	1	1	22.3
7/16/2004	6	1	1	24.6
7/16/2004	2	2	1	18.75
7/16/2004	3	2	1	19.3
7/16/2004	4	2	1	10.3
7/16/2004	1	2	1	10.4
7/16/2004	5	2	1	18.2
7/16/2004	6	2	1	21.5
8/25/2004	2	1	1	26.7
8/25/2004	3	1	1	26.1
8/25/2004	4	1	1	22.5
8/25/2004	1	1	1	28.6
8/25/2004	5	1	1	30
8/25/2004	6	1	1	26.7
8/25/2004	2	2	1	27.5
8/25/2004	3	2	1	28.8
8/25/2004	4	2	1	22.3
8/25/2004	1	2	1	25.4
8/25/2004	5	2	1	30.1
8/25/2004	6	2	1	25.9
9/17/2004	2	1	1	13.4
9/17/2004	3	1	1	18.7
9/17/2004	4	1	1	9.5
9/17/2004	1	1	1	12.1
9/17/2004	5	1	1	18.5
9/17/2004	6	1	1	15.8
9/17/2004	2	2	1	14
9/17/2004	3	2	1	17.6
9/17/2004	4	2	1	13.4
9/17/2004	1	2	1	17.3
9/17/2004	5	2	1	15.3
9/17/2004	6	2	1	17.1
10/20/2004	2	1	1	28.4
10/20/2004	3	1	1	25.7
10/20/2004	4	1	1	30.4
10/20/2004	1	1	1	33
10/20/2004	5	1	1	30
10/20/2004	6	1	1	30.8
10/20/2004	2	2	1	30.8
10/20/2004	3	2	1	27.7
10/20/2004	4	2	1	28.2
10/20/2004	1	2	1	29.3
10/20/2004	5	2	1	30
10/20/2004	6	2	1	27.3
12/3/2004	2	1	1	32.7
12/3/2004	3	1	1	36.6
12/3/2004	4	1	1	37
12/3/2004	1	1	1	39.7
12/3/2004	5	1	1	36.1
12/3/2004	6	1	1	38.8
12/3/2004	2	2	1	32.6
12/3/2004	3	2	1	35.2
12/3/2004	4	2	1	37.6
12/3/2004	1	2	1	40.5
12/3/2004	5	2	1	35.2
12/3/2004	6	2	1	37.8
12/29/2004	2	1	1	30.6
12/29/2004	3	1	1	33.7
12/29/2004	4	1	1	31.8
12/29/2004	1	1	1	34.8
12/29/2004	5	1	1	31.8
12/29/2004	6	1	1	32.9
12/29/2004	2	2	1	33.8
12/29/2004	3	2	1	31.2
12/29/2004	4	2	1	29
12/29/2004	1	2	1	37.6
12/29/2004	5	2	1	31.8
12/29/2004	6	2	1	34
1/26/2005	2	1	1	29.85
1/26/2005	3	1	1	31.9
1/26/2005	4	1	1	30.2
1/26/2005	1	1	1	37.15
1/26/2005	5	1	1	34.1
1/26/2005	6	1	1	34.1
1/26/2005	2	2	1	31.6
1/26/2005	3	2	1	33.1
1/26/2005	4	2	1	30.9
1/26/2005	1	2	1	39.1
1/26/2005	5	2	1	31.7
1/26/2005	6	2	1	35.3
2/21/2005	2	1	1	29.4
2/21/2005	3	1	1	31.9
2/21/2005	4	1	1	30
2/21/2005	1	1	1	38.4
2/21/2005	5	1	1	34.6
2/21/2005	6	1	1	33.8
2/21/2005	2	2	1	32
2/21/2005	3	2	1	31.9
2/21/2005	4	2	1	30.3
2/21/2005	1	2	1	39.3
2/21/2005	5	2	1	33.2
2/21/2005	6	2	1	36.8
4/15/2005	2	1	1	23.7
4/15/2005	3	1	1	26.1
4/15/2005	4	1	1	17.1
4/15/2005	1	1	1	31.1
4/15/2005	5	1	1	26
4/15/2005	6	1	1	26.6
4/15/2005	2	2	1	29.5
4/15/2005	3	2	1	26.9
4/15/2005	4	2	1	20
4/15/2005	1	2	1	30.3
4/15/2005	5	2	1	24.2
4/15/2005	6	2	1	26.9
4/28/2005	2	1	1	19.5
4/28/2005	3	1	1	17.5
4/28/2005	4	1	1	13.6
4/28/2005	1	1	1	25.4
4/28/2005	5	1	1	22
4/28/2005	6	1	1	19.5
4/28/2005	2	2	1	20.9
4/28/2005	3	2	1	20.9
4/28/2005	4	2	1	14.3
4/28/2005	1	2	1	24.3
4/28/2005	5	2	1	20.9
4/28/2005	6	2	1	19.4
5/28/2005	2	1	1	20.6
5/28/2005	3	1	1	22.4
5/28/2005	4	1	1	17.3
5/28/2005	1	1	1	22.4
5/28/2005	5	1	1	26.3
5/28/2005	6	1	1	25.1
5/28/2005	2	2	1	21.15
5/28/2005	3	2	1	20.5
5/28/2005	4	2	1	16.9
5/28/2005	1	2	1	25.1
5/28/2005	5	2	1	22.8
5/28/2005	6	2	1	21.1
6/21/2005	2	1	1	25.5
6/21/2005	3	1	1	24.2
6/21/2005	4	1	1	17
6/21/2005	1	1	1	28.4
6/21/2005	5	1	1	26.5
6/21/2005	6	1	1	25.2
6/21/2005	2	2	1	26.75
6/21/2005	3	2	1	18.4
6/21/2005	4	2	1	17.4
6/21/2005	1	2	1	26.1
6/21/2005	5	2	1	26.9
6/21/2005	6	2	1	25.6
7/8/2005	2	1	1	24.85
7/8/2005	3	1	1	27.7
7/8/2005	4	1	1	21
7/8/2005	1	1	1	27.2
7/8/2005	5	1	1	25.3
7/8/2005	6	1	1	27.2
7/8/2005	2	2	1	28.8
7/8/2005	3	2	1	27.5
7/8/2005	4	2	1	20.2
7/8/2005	1	2	1	27.8
7/8/2005	5	2	1	25
7/8/2005	6	2	1	24.55
8/2/2005	2	1	1	22
8/2/2005	3	1	1	26.8
8/2/2005	4	1	1	18.1
8/2/2005	1	1	1	24.7
8/2/2005	5	1	1	21.9
8/2/2005	6	1	1	23.5
8/2/2005	2	2	1	27.3
8/2/2005	3	2	1	25.1
8/2/2005	4	2	1	17.6
8/2/2005	1	2	1	23.4
8/2/2005	5	2	1	22.2
8/2/2005	6	2	1	24.1
8/25/2005	2	1	1	24.8
8/25/2005	3	1	1	25.7
8/25/2005	4	1	1	22.6
8/25/2005	1	1	1	27.3
8/25/2005	5	1	1	27.9
8/25/2005	6	1	1	29.5
8/25/2005	2	2	1	26.2
8/25/2005	3	2	1	27.7
8/25/2005	4	2	1	22.9
8/25/2005	1	2	1	28.4
8/25/2005	5	2	1	27.6
8/25/2005	6	2	1	26.1
9/24/2005	2	1	1	21.7
9/24/2005	3	1	1	26.4
9/24/2005	4	1	1	19.7
